"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Endocrine and metabolic disease","hsa04936","Alcoholic liver disease","5/10","144/9421",0.0347222222222222,32.7118055555556,12.499884563804,1.84436301281397e-07,1.68041963389717e-06,5.28501682034412e-07,"207/7124/836/3553/3569",5
"Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","4/10","56/9421",0.0714285714285714,67.2928571428571,16.2186396382893,2.28978371367294e-07,1.97644488969664e-06,6.21603335013706e-07,"7124/836/3553/3569",4
"Human Diseases","Endocrine and metabolic disease","hsa04932","Non-alcoholic fatty liver disease","5/10","157/9421",0.0318471337579618,30.0031847133758,11.9454855203931,2.84153451326521e-07,2.33005830087747e-06,7.32816795526292e-07,"207/7124/836/3553/3569",5
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","5/10","173/9421",0.0289017341040462,27.228323699422,11.3495133654895,4.61080474089322e-07,3.60081894050708e-06,1.13247835741237e-06,"207/7124/836/3553/3569",5
"Human Diseases","Cancer: overview","hsa05230","Central carbon metabolism in cancer","4/10","71/9421",0.0563380281690141,53.0760563380282,14.3571759168761,6.0110999977399e-07,4.48100181649702e-06,1.40930095640792e-06,"207/7157/3091/5728",4
"Human Diseases","Drug resistance: antineoplastic","hsa01524","Platinum drug resistance","4/10","75/9421",0.0533333333333333,50.2453333333333,13.9569457204917,7.50409143883775e-07,5.12779581653913e-06,1.61272140571513e-06,"207/7157/836/596",4
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","4/10","75/9421",0.0533333333333333,50.2453333333333,13.9569457204917,7.50409143883775e-07,5.12779581653913e-06,1.61272140571513e-06,"7157/836/596/5728",4
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","5/10","196/9421",0.0255102040816327,24.0331632653061,10.6219927083239,8.57704239426911e-07,5.54642273167748e-06,1.74438198878175e-06,"207/7157/836/3091/3569",5
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","4/10","78/9421",0.0512820512820513,48.3128205128205,13.676990035704,8.79310920875698e-07,5.54642273167748e-06,1.74438198878175e-06,"7124/836/3553/3569",4
"Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","4/10","80/9421",0.05,47.105,13.4990715262307,9.73956630993465e-07,5.91588472158993e-06,1.86057991885691e-06,"207/596/3569/5728",4
"Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","4/10","87/9421",0.0459770114942529,43.3149425287356,12.9248957276573,1.36582453146262e-06,7.99982939856676e-06,2.51599255795745e-06,"207/7157/836/596",4
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","5/10","224/9421",0.0223214285714286,21.0290178571429,9.88935880834691,1.66202599504098e-06,9.39904355816276e-06,2.95605349390228e-06,"207/7157/7124/3569/5728",5
"Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","4/10","99/9421",0.0404040404040404,38.0646464646465,12.0845497709365,2.29567439918525e-06,1.25496867155461e-05,3.94694896702026e-06,"207/7157/596/4318",4
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","4/10","103/9421",0.0388349514563107,36.5864077669903,11.8371997091764,2.69075009765385e-06,1.3790094250476e-05,4.33706430213942e-06,"207/7124/3553/3569",4
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","4/10","103/9421",0.0388349514563107,36.5864077669903,11.8371997091764,2.69075009765385e-06,1.3790094250476e-05,4.33706430213942e-06,"7124/836/3553/3569",4
"Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","4/10","105/9421",0.0380952380952381,35.8895238095238,11.7187831058365,2.90622215962267e-06,1.4443043459943e-05,4.54242060036718e-06,"207/7124/3553/3569",4
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","5/10","253/9421",0.0197628458498024,18.6185770750988,9.25979460706076,3.03091248330269e-06,1.46196955076953e-05,4.59797868984e-06,"207/7157/7124/596/3553",5
"Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","4/10","109/9421",0.036697247706422,34.5724770642202,11.4916586141353,3.37533476746139e-06,1.51091812862138e-05,4.75192479476557e-06,"207/7124/3553/3569",4
"Human Diseases","Endocrine and metabolic disease","hsa04931","Insulin resistance","4/10","109/9421",0.036697247706422,34.5724770642202,11.4916586141353,3.37533476746139e-06,1.51091812862138e-05,4.75192479476557e-06,"207/7124/3569/5728",4
"Human Diseases","Drug resistance: antineoplastic","hsa01523","Antifolate resistance","3/10","30/9421",0.1,94.21,16.6676656398478,3.44479511098422e-06,1.51091812862138e-05,4.75192479476557e-06,"7124/3553/3569",3
"Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","4/10","110/9421",0.0363636363636364,34.2581818181818,11.4367926440046,3.50090785900075e-06,1.51091812862138e-05,4.75192479476557e-06,"207/596/3091/3569",4
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","4/10","112/9421",0.0357142857142857,33.6464285714286,11.3292389938409,3.76242732415508e-06,1.58214892605496e-05,4.97594976743857e-06,"207/7124/836/596",4
"Human Diseases","Infectious disease: parasitic","hsa05143","African trypanosomiasis","3/10","37/9421",0.0810810810810811,76.3864864864865,14.9764172058296,6.56690633933452e-06,2.69243159912715e-05,8.46785291124715e-06,"7124/3553/3569",3
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","5/10","301/9421",0.0166112956810631,15.6495016611296,8.42008052099832,7.11450233740796e-06,2.84580093496319e-05,8.95020833204083e-06,"207/7157/7124/836/3553",5
"Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","4/10","138/9421",0.0289855072463768,27.3072463768116,10.1479501416062,8.64522754340997e-06,3.37575551695056e-05,1.06169461059421e-05,"207/7124/3553/3569",4
"Human Diseases","Cancer: overview","hsa05206","MicroRNAs in cancer","5/10","323/9421",0.0154798761609907,14.5835913312693,8.0974908651126,1.00457996954867e-05,3.83142127920886e-05,1.20500412504001e-05,"7157/836/596/4318/5728",5
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","5/10","333/9421",0.015015015015015,14.1456456456456,7.96118000371367,1.16581268030588e-05,4.34530180841282e-05,1.36662251997579e-05,"207/7157/7124/836/5728",5
"Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","3/10","45/9421",0.0666666666666667,62.8066666666667,13.546913079228,1.1939370789862e-05,4.35123735452747e-05,1.36848928351634e-05,"7124/3553/3569",3
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","4/10","156/9421",0.0256410256410256,24.1564102564103,9.50645041496183,1.40588100151214e-05,5.01227139669545e-05,1.57638830833169e-05,"207/7157/7124/836",4
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","4/10","157/9421",0.0254777070063694,24.0025477707006,9.47401480363405,1.44189317553513e-05,5.03128682527151e-05,1.58236877046408e-05,"207/7157/3569/5728",4
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","3/10","50/9421",0.06,56.526,12.8320483305948,1.64452987429917e-05,5.6188104038555e-05,1.76714832983902e-05,"7124/3553/3569",3
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","5/10","362/9421",0.0138121546961326,13.0124309392265,7.59718363397121,1.7509642215153e-05,5.86037004752061e-05,1.84312023317401e-05,"207/7157/596/3569/5728",5
"Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","4/10","169/9421",0.0236686390532544,22.298224852071,9.10702466194469,1.9292629382683e-05,6.32798243752003e-05,1.99018703105572e-05,"207/596/3091/5728",4
"Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","5/10","389/9421",0.012853470437018,12.1092544987147,7.2941605276448,2.48300626934497e-05,7.9845691798544e-05,2.51119313101968e-05,"207/7124/836/3553/3569",5
"Human Diseases","Cancer: specific types","hsa05213","Endometrial cancer","3/10","59/9421",0.0508474576271186,47.9033898305085,11.7802222356667,2.71396694732406e-05,8.55943421848359e-05,2.69199150645504e-05,"207/7157/5728",3
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","4/10","187/9421",0.0213903743315508,20.151871657754,8.62272738234007,2.87529631015625e-05,8.89714329935142e-05,2.79820296321065e-05,"7124/596/3553/3569",4
